id	gender	role	language_english	duration_in_days	publications	organic_tweets	follower_global	followees_global	follower_researcher	follower_researcher_phd	follower_researcher_prof	follower_researcher_male	follower_researcher_female	follower_researcher_male_phd	follower_researcher_male_prof	follower_researcher_female_phd	follower_researcher_female_prof	follower_reciprocal_researcher	follower_reciprocal_researcher_phd	follower_reciprocal_researcher_prof	follower_reciprocal_researcher_male	follower_reciprocal_researcher_female	follower_reciprocal_researcher_male_phd	follower_reciprocal_researcher_male_prof	follower_reciprocal_researcher_female_phd	follower_reciprocal_researcher_female_prof	633	NA	NA	1	2728	24	277	92876	1056	844	151	98	402	159	54	50	30	18	75	6	18	36	18	1	8	2	6
607093	male	NA	1	2551	1	1067	1951	2141	11	0	0	6	2	0	0	0	0	8	0	0	4	2	0	0	0	0
609743	male	NA	1	2550	2	101	261	324	2	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0
610323	NA	NA	1	2550	18	591	883	968	37	4	6	24	1	2	3	0	0	27	3	4	20	0	2	3	0	0
617133	male	NA	1	2548	1	288	6025	532	78	5	6	58	1	1	5	1	0	7	1	0	5	0	0	0	0	0
637073	NA	phd	1	2542	14	258	980	348	86	12	13	22	23	2	5	5	2	36	3	6	7	13	1	1	1	2
646533	male	NA	1	2541	10	1037	71032	329	100	3	3	68	9	2	2	0	0	5	0	0	4	0	0	0	0	0
657863	male	NA	1	2539	5	437	1444055	513	392	39	17	236	33	17	13	5	0	6	0	0	5	0	0	0	0	0
661833	NA	NA	1	2539	5	3	171	449	10	4	1	5	1	0	1	1	0	8	3	1	4	1	0	1	1	0
669083	male	NA	1	2537	2	57	340	157	14	1	0	12	1	1	0	0	0	9	1	0	8	1	1	0	0	0
672313	male	NA	1	2537	70	3	236	30	60	13	4	28	12	9	1	2	2	7	1	0	2	1	0	0	1	0
680413	male	NA	1	2535	1	51	353	47	11	0	0	11	0	0	0	0	0	2	0	0	2	0	0	0	0	0
681813	female	NA	1	2535	7	701	54384	678	202	19	27	119	33	5	21	7	3	10	0	1	5	1	0	0	0	1
688183	male	NA	1	2534	16	31	97	124	8	2	1	2	5	0	1	2	0	6	1	1	2	3	0	1	1	0
689933	male	NA	1	2534	1	0	11	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
696333	NA	NA	1	2533	4	183	1461	325	9	3	1	1	5	0	0	2	1	5	1	1	1	2	0	0	0	1
707893	male	NA	1	2531	2	324	3364	1549	17	0	1	8	4	0	1	0	0	13	0	1	6	4	0	1	0	0
711983	male	NA	1	2530	2	252	44	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
722573	male	NA	1	2528	1	16	890	1196	2	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0
733293	male	NA	1	2527	1	51	92	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
738853	male	NA	1	2526	3	254	2164	150	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
750093	female	professor	1	2523	23	591	2284	660	292	63	57	113	60	20	29	12	12	126	22	38	56	30	7	17	6	7
755373	female	NA	1	2520	21	51	904	224	150	37	34	62	34	12	14	9	10	56	9	20	24	15	4	8	2	5
